video,frame,phash,processing_seconds
ashley_homemadematcha_dl.mp4,9,cd2d96930bc9dd44,0.504
ashley_homemadematcha_dl.mp4,10,ad29d29309cfdc46,0.504
ashley_homemadematcha_dl.mp4,11,ac29d2b209cffc4c,0.504
ashley_homemadematcha_dl.mp4,12,960bf07901e6c74f,0.504
ashley_homemadematcha_dl.mp4,13,960ff0b905c1cf4e,0.504
ashley_homemadematcha_dl.mp4,14,8626df79e885c546,0.504
ashley_homemadematcha_dl.mp4,15,9c450bee5b1b89a9,0.504
ashley_korea_dl.mp4,0,84596a7a1a8fa7c6,0.513
ashley_korea_dl.mp4,1,8c79231643abaf56,0.513
ashley_korea_dl.mp4,2,8d706b1717caaab4,0.513
ashley_korea_dl.mp4,3,9f622df552a38748,0.513
ashley_korea_dl.mp4,4,dd643bd3a1e5420d,0.513
ashley_korea_dl.mp4,5,df4c3a3792a1c64a,0.513
ashley_korea_dl.mp4,6,875923b7d4821b5d,0.513
ashley_korea_dl.mp4,7,96592db5e387164a,0.513
ashley_korea_dl.mp4,8,875928b5b9ba13c3,0.513
ashley_korea_dl.mp4,9,8c6a29f5524517be,0.513
ashley_korea_dl.mp4,10,d02f3659b5d22d26,0.513
ashley_korea_dl.mp4,11,8c5369665e8ca597,0.513
ashley_korea_dl.mp4,12,8dd870a7a6568da9,0.513
ashley_korea_dl.mp4,13,8d5870b7a6468dad,0.513
ashley_korea_dl.mp4,14,8d5870b7a6468dad,0.513
ashley_korea_dl.mp4,15,8d5870b7a6468dad,0.513
ashley_namimatcha12_19_dl.mp4,0,c99032d6a7c3a97a,0.407
ashley_namimatcha12_19_dl.mp4,1,94b821f532b8e9e9,0.407
ashley_namimatcha12_19_dl.mp4,2,fd8017c6abb12d83,0.407
ashley_namimatcha12_19_dl.mp4,3,9d8c17c6adac0bc5,0.407
ashley_namimatcha12_19_dl.mp4,4,b5be0f84a7ec6038,0.407
ashley_namimatcha12_19_dl.mp4,5,96b4689f9be092e2,0.407
ashley_namimatcha12_19_dl.mp4,6,91da2935d4b46ed2,0.407
ashley_namimatcha12_19_dl.mp4,7,dab4369a30f0e55a,0.407
ashley_namimatcha12_19_dl.mp4,8,ce90199c9accd6d3,0.407
ashley_namimatcha12_19_dl.mp4,9,d4a929953ab9aac9,0.407
ashley_namimatcha12_19_dl.mp4,10,dab4349a36f2a9a8,0.407
ashley_namimatcha12_19_dl.mp4,11,d88422d975caa8bf,0.407
ashley_namimatcha12_19_dl.mp4,12,95e5e28a2cece4c3,0.407
ashley_newnamimatcha_dl.mp4,0,cb2a27f0d6182ced,3.669
ashley_newnamimatcha_dl.mp4,1,d200a0f55d6ac9fb,3.669
ashley_newnamimatcha_dl.mp4,2,da8a2f0bdd75c0c4,3.669
ashley_newnamimatcha_dl.mp4,3,da1a2f83e6d43929,3.669
ashley_newnamimatcha_dl.mp4,4,95381e355f5171f0,3.669
