video,block,fingerprint,processing_seconds
ashley_3am_dl.mp4,23,"-345.698395,149.473190,-60.761044,12.009573,-21.524677,16.237869,-6.106057,5.306272,-22.751802,8.527452,-11.325995,-3.030700,-7.244533,-0.018373,-0.307903,-3.585998,0.034951,-4.363525,1.779430,-9.045892",12.972
ashley_3am_dl.mp4,24,"-445.419952,154.703415,-17.782818,52.017540,-27.534340,26.276140,-25.172352,19.650166,-30.344429,6.159737,-24.438805,2.198932,-9.411626,5.907345,-2.543219,-0.354440,0.921145,-6.751953,2.768578,-7.921892",12.972
ashley_3am_dl.mp4,25,"-379.171753,129.301300,-22.090458,41.722630,-12.460769,12.181673,-24.940857,7.758444,-18.175806,-2.466880,-18.730274,-5.100005,-8.974364,-1.834212,-1.478211,-0.229088,3.538049,-6.614175,0.476348,-5.895695",12.972
ashley_3am_dl.mp4,26,"-278.504211,129.149582,-65.327377,14.674531,-25.001415,19.325956,-6.671963,3.480618,-14.492655,-7.855948,-25.241461,-3.469898,-3.023527,-1.111180,-3.482537,2.158951,11.521637,-6.635892,-6.175482,-8.370973",12.972
ashley_3am_dl.mp4,27,"-373.771698,129.130173,-16.296263,27.843376,9.958934,3.653583,-9.710815,-8.715325,-8.893742,-9.566564,-20.605577,-14.823631,2.374087,-1.427459,-2.790118,-1.472460,-4.788392,-7.259204,-5.977637,-4.720084",12.972
ashley_3am_dl.mp4,28,"-391.440247,160.400757,-0.076607,34.787865,-8.323630,17.393883,-18.048555,-4.774185,-19.325960,-12.475677,-27.923189,-6.696354,-6.083700,-5.313755,-1.608560,-4.070779,-3.480485,-10.230031,-7.575270,-8.822972",12.972
ashley_3am_dl.mp4,29,"-370.083862,147.428757,-14.791680,26.033476,-21.005514,9.152699,-13.302555,-5.994483,-13.880842,1.910343,-9.549959,-3.459539,-7.814206,-4.838967,-3.430185,-4.930563,-0.912200,-5.370196,-2.613435,-4.681305",12.972
ashley_3am_dl.mp4,30,"-374.420044,176.533798,-19.162930,27.875246,-21.024481,7.261665,-24.482517,6.796050,-22.921192,1.778867,-17.237938,-3.937018,-11.802707,-6.802311,-6.112662,-3.966372,-0.221282,-8.710065,-1.431289,-6.096217",12.972
ashley_3am_dl.mp4,31,"-332.276093,135.998550,-9.183393,26.908094,-7.628398,-4.234236,-13.655636,-16.321636,-3.992380,-5.129275,-13.918360,-8.953931,-2.301926,-4.879476,-6.080642,-1.819244,0.556959,-5.723996,-7.145979,-4.592793",12.972
ashley_3am_dl.mp4,32,"-313.037994,138.534698,-30.932684,29.838657,-13.614848,-3.279276,-12.048330,-7.308875,-21.837126,1.667762,-11.222064,-7.047781,-5.693108,-8.454940,-12.873607,-6.153474,-0.614036,-3.725382,-2.641903,-9.585793",12.972
ashley_3am_dl.mp4,33,"-275.717072,126.894508,-84.868187,-3.619668,-24.623768,1.910617,-7.204781,6.144199,-3.687415,15.469670,-3.148496,-13.760864,-6.993115,2.688727,-2.558442,-2.335618,-3.449693,-6.961863,-0.410605,-8.377480",12.972
ashley_3am_dl.mp4,34,"-411.167786,137.406921,-53.929020,32.153515,-8.056132,33.591591,-14.822146,8.636654,-21.050098,14.449523,-13.816915,-5.765602,-11.967410,-0.459380,-3.809468,-0.956117,0.007525,-8.372071,5.082671,-4.879669",12.972
ashley_3am_dl.mp4,35,"-441.853302,153.615723,-18.698938,47.823383,-26.558886,29.636679,-21.951777,17.493746,-23.519547,11.733899,-19.542528,2.425836,-13.718893,2.434530,-2.534820,-1.587991,-0.400620,-6.236694,2.998375,-8.069221",12.972
ashley_3am_dl.mp4,36,"-366.646454,145.489349,-17.178246,25.276176,-15.346310,14.652368,-12.914116,6.817590,-13.832651,3.310887,-13.555681,-3.864157,-8.233639,-1.654621,-4.127580,-5.010411,-1.445170,-5.780028,1.833162,-6.439307",12.972
ashley_3am_dl.mp4,37,"-368.543518,151.713120,-28.431934,14.135799,-3.974796,12.077794,-6.356856,7.316042,-6.887243,2.604924,-7.598368,-3.820610,-8.220778,-2.481140,-0.975908,-6.770759,-3.203523,-6.695519,0.865673,-5.717559",12.972
